"id","name","longitude","latitude","lg_name","admin0_name","admin0_grid_id","admin1_grid_id","admin2_grid_id","admin3_grid_id","admin4_grid_id","admin5_grid_id","population","JPScale","LeastReached","PrimaryLanguageName","PrimaryReligion","PercentAdherents","PercentEvangelical","PeopleCluster","AffinityBloc","pg_unique_key"
560,"Liechtensteiner",9.58394,47.2351,"Feldkirch","Austria",100003491,100003499,100003595,100005679,NULL,NULL,600,3,"N","German, Standard","Christianity",92.000,0.200,"Germanic","Eurasian Peoples","AU_13055_105759"
561,"Macedonian",14.5362,46.4662,"Eisenkappel-Vellach","Austria",100003491,100003493,100003518,100003879,NULL,NULL,4500,3,"N","Macedonian","Christianity",86.300,0.200,"Slav, Southern","Eurasian Peoples","AU_13186_105968"
562,"Persian",16.3478,48.1769,"Wien Umgebung","Austria",100003491,100003494,100003541,NULL,NULL,NULL,18000,1,"Y","Persian, Iranian","Islam",1.000,0.200,"Persian","Persian-Median","AU_14371_107987"
563,"Polish",16.3946,48.268,"Floridsdorf","Austria",100003491,100003500,100003596,100005705,NULL,NULL,60000,3,"N","Polish","Christianity",90.000,0.150,"Slav, Western","Eurasian Peoples","AU_14431_108096"
564,"Romani, Austrian",13.2566,47.8168,"Hof bei Salzburg","Austria",100003491,100003496,100003565,100004946,NULL,NULL,3300,3,"N","Romani, Carpathian","Christianity",80.000,0.500,"Romani","Eurasian Peoples","AU_10492_100627"
565,"Romani, Sinte",14.9043,47.9977,"Randegg","Austria",100003491,100003494,100003537,100004348,NULL,NULL,3300,3,"N","Romani, Sinte","Christianity",80.000,0.300,"Romani","Eurasian Peoples","AU_14202_109316"
566,"Romanian",16.3796,48.1907,"Wieden","Austria",100003491,100003500,100003596,100005722,NULL,NULL,87000,4,"N","Romanian","Christianity",90.000,4.000,"Romanian","Eurasian Peoples","AU_14571_108398"
567,"Russian",13.0165,47.814,"Salzburg","Austria",100003491,100003496,100003564,100004927,NULL,NULL,17000,3,"N","Russian","Christianity",70.000,0.400,"Slav, Eastern","Eurasian Peoples","AU_14598_108452"
568,"Serb",14.3059,46.6004,"Klagenfurt am Wörthersee","Austria",100003491,100003493,100003512,100003783,NULL,NULL,122000,3,"N","Serbian","Christianity",84.000,0.500,"Slav, Southern","Eurasian Peoples","AU_14864_108856"
569,"Slovak",16.4671,48.1626,"Simmering","Austria",100003491,100003500,100003596,100005720,NULL,NULL,37000,3,"N","Slovak","Christianity",94.000,1.100,"Slav, Western","Eurasian Peoples","AU_14962_109354"
570,"Slovene",13.9954,46.5835,"Rosegg","Austria",100003491,100003493,100003517,100003869,NULL,NULL,31000,3,"N","Slovene","Christianity",86.000,0.150,"Slav, Southern","Eurasian Peoples","AU_14964_109357"
571,"Sorb, Lower Lusatian",13.9233,48.5187,"Hörbich","Austria",100003491,100003495,100003555,100004729,NULL,NULL,4500,3,"N","Sorbian, Lower","Christianity",70.000,1.000,"Slav, Western","Eurasian Peoples","AU_15001_109422"
572,"South Asian, general",16.5189,48.263,"Donaustadt","Austria",100003491,100003500,100003596,100005703,NULL,NULL,23000,1,"Y","Hindi","Hinduism",5.000,0.600,"South Asia - other","South Asian Peoples","AU_19211_115527"
573,"Spaniard",16.3779,48.1736,"Margareten","Austria",100003491,100003500,100003596,100005713,NULL,NULL,4200,3,"N","Spanish","Christianity",69.000,0.300,"Spanish","Eurasian Peoples","AU_15077_109534"
574,"Swedish",16.3605,48.1837,"Margareten","Austria",100003491,100003500,100003596,100005713,NULL,NULL,2000,4,"N","Swedish","Christianity",54.000,4.500,"Scandinavian","Eurasian Peoples","AU_15148_109650"
575,"Turk",16.3277,48.1678,"Meidling","Austria",100003491,100003500,100003596,100005715,NULL,NULL,121000,1,"Y","Turkish","Islam",0.101,0.060,"Turkish","Turkic Peoples","AU_18274_113818"
576,"Vietnamese",16.3641,48.14,"Favoriten","Austria",100003491,100003500,100003596,100005704,NULL,NULL,3600,2,"N","Vietnamese","Buddhism",12.000,1.400,"Vietnamese","Southeast Asian Peoples","AU_12700_105018"
577,"Walser",9.963,47.218,"Sonntag","Austria",100003491,100003499,100003591,100005622,NULL,NULL,9000,3,"N","Walser","Christianity",90.000,1.000,"Swiss","Eurasian Peoples","AU_15843_110650"
578,"Yeniche",12.9707,48.0928,"Eggelsberg","Austria",100003491,100003495,100003545,100004479,NULL,NULL,1800,3,"N","Yeniche","Christianity",60.000,1.300,"Jews","Jews","AU_19631_111031"
579,"Armenian",46.6227,39.9404,"Xocalı  (Nagorno-Karabakh)","Azerbaijan",100005723,100005733,100005811,NULL,NULL,NULL,130000,3,"N","Armenian","Christianity",84.129,2.000,"Armenian","Eurasian Peoples","AJ_10429_100516"
580,"Assyrian",48.5638,38.7253,"Lerik","Azerbaijan",100005723,100005729,100005781,NULL,NULL,NULL,1600,3,"N","Assyrian Neo-Aramaic","Christianity",97.000,2.000,"Assyrian / Aramaic","Arab World","AJ_10464_100574"
581,"Avar",46.5775,41.738,"Balakən","Azerbaijan",100005723,100005732,100005796,NULL,NULL,NULL,54000,1,"Y","Avar","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_10495_100633"
582,"Azerbaijani",47.6871,40.2128,"Zərdab","Azerbaijan",100005723,100005725,100005756,NULL,NULL,NULL,8738000,1,"Y","Azerbaijani, North","Islam",0.400,0.216,"Azerbaijani","Turkic Peoples","AJ_10528_100675"
583,"Azerbaijani, Azeri Turk",48.0798,39.8703,"İmişli","Azerbaijan",100005723,100005725,100005746,NULL,NULL,NULL,294000,1,"Y","Azerbaijani, South","Islam",0.250,0.150,"Azerbaijani","Turkic Peoples","AJ_18859_100677"
584,"Belarusian",49.8422,40.3692,"Bakı","Azerbaijan",100005723,100005724,100005735,NULL,NULL,NULL,6600,3,"N","Belarusian","Christianity",75.000,1.100,"Slav, Eastern","Eurasian Peoples","AJ_11065_101833"
585,"British",49.9791,40.4636,"Bakı","Azerbaijan",100005723,100005724,100005735,NULL,NULL,NULL,2800,4,"N","English","Christianity",70.000,7.000,"Anglo-Celt","Eurasian Peoples","AJ_11140_102927"
586,"Budug",48.339,41.2414,"Quba","Azerbaijan",100005723,100005731,100005792,NULL,NULL,NULL,1100,1,"Y","Budukh","Islam",0.110,0.000,"Caucasus","Eurasian Peoples","AJ_10980_101695"
587,"Chechen",48.4884,41.6953,"Magaramkentskiy rayon","Russia",100317719,100317734,100318230,100320675,NULL,NULL,5300,1,"Y","Chechen","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_11317_102059"
588,"Dargin",48.5779,41.7629,"Xaçmaz","Azerbaijan",100005723,100005731,100005795,NULL,NULL,NULL,1200,1,"Y","Dargwa","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_11505_102454"
589,"Deaf",49.8123,40.3988,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,76000,1,"Y","Language unknown","Islam",2.740,0,"Deaf","Deaf","AJ_19007_114916"
590,"Georgian",46.8275,41.3655,"Qax","Azerbaijan",100005723,100005732,100005799,NULL,NULL,NULL,43000,3,"N","Georgian","Christianity",75.000,0.500,"Caucasus","Eurasian Peoples","AJ_11865_103298"
591,"German",49.8585,40.3783,"Bakı","Azerbaijan",100005723,100005724,100005735,NULL,NULL,NULL,1000,5,"N","German, Standard","Christianity",78.000,20.000,"Germanic","Eurasian Peoples","AJ_11871_103305"
592,"Inghiloi",46.8275,41.3655,"Qax","Azerbaijan",100005723,100005732,100005799,NULL,NULL,NULL,18000,2,"N","Georgian","Islam",10.000,0.300,"Caucasus","Eurasian Peoples","AJ_12230_104032"
593,"Jewish Tat, Mountain Jews",48.4893,41.3791,"Qusar","Azerbaijan",100005723,100005731,100005793,NULL,NULL,NULL,15000,1,"Y","Judeo-Tat","Ethnic Religions",0.000,0.000,"Jews","Jews","AJ_10839_116827"
594,"Kazakh",49.8403,40.408,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,2300,1,"Y","Kazakh","Islam",0.090,0.000,"Kazakh","Turkic Peoples","AJ_12599_104791"
595,"Khinalug",48.0582,41.1791,"Quba","Azerbaijan",100005723,100005731,100005792,NULL,NULL,NULL,2400,1,"Y","Khinalugh","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_12660_104944"
596,"Kryz",48.1821,41.1788,"Quba","Azerbaijan",100005723,100005731,100005792,NULL,NULL,NULL,5800,1,"Y","Kryts","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_11255_105327"
597,"Kurd, Kurmanji",46.1656,39.8244,"Lachin","Azerbaijan",100005723,100005728,100005774,NULL,NULL,NULL,6600,1,"Y","Kurdish, Northern","Islam",0.040,0.000,"Kurd","Persian-Median","AJ_12877_105458"
598,"Lak",48.528,41.3633,"Quba","Azerbaijan",100005723,100005731,100005792,NULL,NULL,NULL,1600,1,"Y","Lak","Islam",0.800,0.800,"Caucasus","Eurasian Peoples","AJ_12952_105583"
599,"Lezgin",48.3448,41.48,"Magaramkentskiy rayon","Russia",100317719,100317734,100318230,100320675,NULL,NULL,195000,1,"Y","Lezgi","Islam",0.100,0.100,"Caucasus","Eurasian Peoples","AJ_13049_105742"
600,"Moldavian",49.8438,40.4045,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,2500,4,"N","Romanian","Christianity",82.000,3.000,"Romanian","Eurasian Peoples","AJ_13775_106730"
601,"Mordvinian",49.8211,40.3897,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,1000,3,"N","Erzya","Christianity",65.000,0.700,"Finno-Ugric","Eurasian Peoples","AJ_13809_106791"
602,"Mussulman Tat",48.7513,41.0912,"Dəvəçi","Azerbaijan",100005723,100005731,100005791,NULL,NULL,NULL,25000,1,"Y","Tat, Muslim","Islam",1.300,1.200,"Persian","Persian-Median","AJ_13896_106963"
603,"Ossetic",45.2621,41.1398,"Qazax","Azerbaijan",100005723,100005727,100005767,NULL,NULL,NULL,2800,2,"N","Ossetic","Christianity",40.000,0.100,"Caucasus","Eurasian Peoples","AJ_14229_107699"
604,"Persian",48.5299,39.3133,"Cəlilabad","Azerbaijan",100005723,100005729,100005778,NULL,NULL,NULL,1400,1,"Y","Persian, Iranian","Islam",0.000,0.000,"Persian","Persian-Median","AJ_14371_107987"
605,"Polish",49.84,40.42,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,31000,3,"N","Polish","Christianity",88.000,2.000,"Slav, Western","Eurasian Peoples","AJ_14431_108096"
606,"Romanian",49.8653,40.3916,"Bakı","Azerbaijan",100005723,100005724,100005735,NULL,NULL,NULL,1700,4,"N","Romanian","Christianity",80.000,4.000,"Romanian","Eurasian Peoples","AJ_14571_108398"
607,"Russian",47.0326,41.0344,"Şəki","Azerbaijan",100005723,100005732,100005800,NULL,NULL,NULL,129000,3,"N","Russian","Christianity",58.000,0.400,"Slav, Eastern","Eurasian Peoples","AJ_14598_108452"
608,"Rutul",46.7413,41.0797,"Qax","Azerbaijan",100005723,100005732,100005799,NULL,NULL,NULL,18000,1,"Y","Rutul","Islam",0.000,0.000,"Caucasus","Eurasian Peoples","AJ_14603_108461"
609,"Shahseven",48.8668,40.2646,"Hacıqabul","Azerbaijan",100005723,100005725,100005745,NULL,NULL,NULL,2000,1,"Y","Azerbaijani, South","Islam",0.000,0.000,"Azerbaijani","Turkic Peoples","AJ_14885_108898"
610,"Talysh",48.5948,38.7389,"Lerik","Azerbaijan",100005723,100005729,100005781,NULL,NULL,NULL,75000,1,"Y","Talysh","Islam",0.000,0.000,"Talysh","Persian-Median","AJ_15220_109766"
611,"Tatar",49.844,40.4112,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,28000,1,"Y","Tatar","Islam",1.500,0.000,"Ural-Siberian","Turkic Peoples","AJ_15284_109874"
612,"Tsakhur",46.8682,41.5568,"Rutul‘skiy rayon","Russia",100317719,100317734,100318234,100320679,NULL,NULL,30000,1,"Y","Tsakhur","Islam",0.029,0.000,"Caucasus","Eurasian Peoples","AJ_15587_110205"
613,"Turk",49.8932,40.3834,"Bakı","Azerbaijan",100005723,100005724,100005735,NULL,NULL,NULL,19000,1,"Y","Turkish","Islam",0.000,0.000,"Turkish","Turkic Peoples","AJ_18274_113818"
614,"Turk, Meskhetian",46.371,40.6698,"Gəncə","Azerbaijan",100005723,100005727,100005764,NULL,NULL,NULL,101000,1,"Y","Turkish","Islam",0.000,0.000,"Turkish","Turkic Peoples","AJ_20631_115687"
615,"Udin",47.7207,40.8968,"Qəbələ","Azerbaijan",100005723,100005732,100005798,NULL,NULL,NULL,4100,3,"N","Udi","Christianity",100.000,0.100,"Caucasus","Eurasian Peoples","AJ_15684_110360"
616,"Ukrainian",49.8459,40.409,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,23000,3,"N","Ukrainian","Christianity",70.000,2.000,"Slav, Eastern","Eurasian Peoples","AJ_15696_110376"
617,"Uzbek, Southern",49.8613,40.4041,"Sumqayıt","Azerbaijan",100005723,100005724,100005736,NULL,NULL,NULL,2000,1,"Y","Uzbek, Southern","Islam",0.000,0.000,"Uzbek","Turkic Peoples","AJ_15756_110472"
618,"Afro-Bahamian",-78.0445,24.7056,"North Andros","Bahamas",100024587,100024610,NULL,NULL,NULL,NULL,243000,5,"N","Bahamas English Creole","Christianity",96.000,43.450,"Afro-American, Northern","North American Peoples","BF_19406_115125"
619,"Americans, U.S.",-77.3795,25.0368,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,8200,5,"N","English","Christianity",87.000,35.000,"Anglo-American","North American Peoples","BF_15741_110448"
620,"Bahamian",-77.376,25.0439,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,93000,5,"N","English","Christianity",93.000,40.020,"Afro-American, Northern","North American Peoples","BF_10566_100763"
621,"British",-77.3771,25.0433,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,4900,4,"N","English","Christianity",70.000,9.000,"Anglo-Celt","Eurasian Peoples","BF_11140_102927"
622,"Chinese, general",-77.2804,25.0467,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,800,4,"N","Chinese, Mandarin","Christianity",55.000,6.000,"Chinese","East Asian Peoples","BF_19206_115066"
623,"Deaf",-77.3297,25.0376,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,2000,3,"N","Language unknown","Christianity",94.650,0,"Deaf","Deaf","BF_19007_114916"
624,"Greek",-77.2965,25.0322,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,1100,3,"N","Greek","Christianity",95.000,0.400,"Greek","Eurasian Peoples","BF_11942_103480"
625,"Haitian",-77.4614,25.011,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,31000,5,"N","Haitian Creole","Christianity",95.200,25.000,"Afro-Caribbean, Francophone","Latin-Caribbean Americans","BF_12035_103642"
626,"Jamaicans",-77.3542,25.0457,"New Providence","Bahamas",100024587,100024608,NULL,NULL,NULL,NULL,6200,5,"N","English","Christianity",86.030,25.000,"Afro-American, Northern","North American Peoples","BF_12316_104168"
627,"Americans, U.S.",50.5549,26.1538,NULL,"Bahrain",100024581,100024583,NULL,NULL,NULL,NULL,8300,5,"N","English","Christianity",87.000,40.000,"Anglo-American","North American Peoples","BA_15741_110448"
628,"Arab, Bahraini",50.5695,26.0027,NULL,"Bahrain",100024581,100024586,NULL,NULL,NULL,NULL,882000,1,"Y","Arabic, Baharna Spoken","Islam",3.400,0.900,"Arab, Arabian","Arab World","BA_10572_100772"
629,"Arab, general",50.5487,26.1163,NULL,"Bahrain",100024581,100024586,NULL,NULL,NULL,NULL,164000,4,"N","Arabic, Gulf Spoken","Islam",8.500,2.500,"Arab World, general","Arab World","BA_19204_115690"
630,"British",50.5898,26.1403,NULL,"Bahrain",100024581,100024583,NULL,NULL,NULL,NULL,25000,4,"N","English","Christianity",60.000,8.000,"Anglo-Celt","Eurasian Peoples","BA_11140_102927"
631,"Deaf",50.5798,26.2297,NULL,"Bahrain",100024581,100024582,NULL,NULL,NULL,NULL,3400,2,"N","Language unknown","Islam",9.810,0,"Deaf","Deaf","BA_19007_114916"
632,"Filipino, Tagalog",50.5179,26.2151,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,34000,5,"N","Tagalog","Christianity",94.000,25.300,"Filipino, Central","Malay Peoples","BA_15175_109692"
633,"Gujarati",50.5543,26.2112,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,34000,1,"Y","Gujarati","Hinduism",2.000,0.800,"South Asia Hindu - other","South Asian Peoples","BA_11982_103544"
634,"Jew, Arabic-speaking",50.5543,26.0365,NULL,"Bahrain",100024581,100024586,NULL,NULL,NULL,NULL,90,1,"Y","Arabic, Gulf Spoken","Ethnic Religions",0.000,0.000,"Jews","Jews","BA_19226_100430"
635,"Kerinci",50.58,26.21,NULL,"Bahrain",100024581,100024582,NULL,NULL,NULL,NULL,26000,1,"Y","Kerinci","Islam",2.000,1.000,"Minangkabau-Rejang of Sumatra","Malay Peoples","BA_12640_104863"
636,"Korean",50.5576,26.2218,NULL,"Bahrain",100024581,100024582,NULL,NULL,NULL,NULL,3100,5,"N","Korean","Christianity",70.000,40.000,"Korean","East Asian Peoples","BA_12795_105225"
637,"Kurd, Kurmanji",50.472,26.2129,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,59000,1,"Y","Kurdish, Northern","Islam",0.010,0.010,"Kurd","Persian-Median","BA_12877_105458"
638,"Malayali",50.5458,26.1789,NULL,"Bahrain",100024581,100024583,NULL,NULL,NULL,NULL,61000,2,"N","Malayalam","Hinduism",40.000,1.500,"South Asia Tribal - other","South Asian Peoples","BA_17433_112836"
639,"Persian",50.4947,26.0808,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,220000,1,"Y","Persian, Iranian","Islam",1.000,0.800,"Persian","Persian-Median","BA_14371_107987"
640,"South Asian, Telugu-speaking",50.5364,26.2189,NULL,"Bahrain",100024581,100024582,NULL,NULL,NULL,NULL,34000,4,"N","Telugu","Hinduism",11.000,10.000,"South Asia - other","South Asian Peoples","BA_15324_109930"
641,"Tamil (Hindu traditions)",50.538,26.2045,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,42000,4,"N","Tamil","Hinduism",14.000,10.000,"South Asia Hindu - other","South Asian Peoples","BA_18211_113732"
642,"Turk",50.484,26.1968,NULL,"Bahrain",100024581,100024585,NULL,NULL,NULL,NULL,1700,1,"Y","Turkish","Islam",0.000,0.000,"Turkish","Turkic Peoples","BA_18274_113818"
643,"Urdu",50.5178,26.1621,NULL,"Bahrain",100024581,100024583,NULL,NULL,NULL,NULL,76000,1,"Y","Urdu","Islam",0.009,0.005,"South Asia - other","South Asian Peoples","BA_15727_110423"
644,"Abdul",89.8362,22.9964,"Gopalganj Paurashava","Bangladesh",100018514,100018517,100018542,100018798,100020932,NULL,27000,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16152_111252"
645,"Aguri",88.8466,25.8674,"Sonaroy","Bangladesh",100018514,100018520,100018578,100019073,100023717,NULL,1000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16182_111287"
646,"Ahmadi",90.5506,24.3476,"Langair","Bangladesh",100018514,100018517,100018548,100018843,100021428,NULL,2100,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_19477_100142"
647,"Akhandji",90.0944,22.6826,"Samudaykati","Bangladesh",100018514,100018515,100018527,100018623,100019516,NULL,500,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16196_111304"
648,"Anglo",90.3292,23.7893,"Ward No-09","Bangladesh",100018514,100018517,100018539,100018744,100020619,NULL,17000,3,"N","Bengali","Christianity",74.142,0,"South Asia Christian","South Asian Peoples","BG_10327_100355"
649,"Ansari",89.6303,24.6268,"Gandail","Bangladesh",100018514,100018519,100018573,100019029,100023277,NULL,1241000,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - Ansari","South Asian Peoples","BG_16221_111334"
650,"Arleng",92.2154,25.0076,"Kanaighat","Bangladesh",100018514,100018521,100018585,100019128,NULL,NULL,900,1,"Y","Karbi","Hinduism",0.000,0.000,"South Asia Tribal - other","South Asian Peoples","BG_17559_112983"
651,"Arora (Sikh traditions)",90.9102,24.3524,"Karpasha","Bangladesh",100018514,100018517,100018544,100018820,100021170,NULL,1100,1,"Y","Punjabi, Western","Other / Small",0.000,0.000,"South Asia Sikh - other","South Asian Peoples","BG_16241_111362"
652,"Chin, Asho, Khyang",92.3427,22.8454,"Barkal","Bangladesh",100018514,100018516,100018538,100018728,NULL,NULL,1900,3,"N","Chin, Asho","Christianity",70.588,0,"Kuki-Chin-Lushai","Tibetan-Himalayan Peoples","BG_10454_100557"
653,"Asur",91.431,25.138,"Jahangirnagar","Bangladesh",100018514,100018521,100018584,100019117,100024141,NULL,1200,2,"N","Sylheti","Hinduism",9.259,0,"South Asia Tribal - other","South Asian Peoples","BG_16257_111379"
654,"Badaik",89.6438,24.4871,"Bahuli","Bangladesh",100018514,100018519,100018573,100019032,100023313,NULL,1000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16275_111400"
655,"Badhai (Muslim traditions)",90.0591,23.5259,"Akter Char","Bangladesh",100018514,100018517,100018540,100018790,100020862,NULL,1700,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16333_111469"
656,"Bagdi (Hindu traditions)",89.4378,23.2433,"Maij Para Union","Bangladesh",100018514,100018518,100018564,100018957,100022603,NULL,79000,1,"Y","Bengali","Hinduism",0.238,0,"South Asia Dalit - other","South Asian Peoples","BG_16281_111406"
657,"Baha'i",90.5559,24.402,"Gaffargaon","Bangladesh",100018514,100018517,100018548,100018843,NULL,NULL,11000,1,"Y","Bengali","Other / Small",0.000,0.000,"South Asia - other","South Asian Peoples","BG_10564_100760"
658,"Bahelia (Hindu traditions)",90.3634,24.9458,"Phulpur Paurashava","Bangladesh",100018514,100018517,100018548,100018850,100021524,NULL,2300,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Dalit - other","South Asian Peoples","BG_16288_111413"
659,"Baidya (Hindu traditions)",92.2542,22.6912,"Shublong","Bangladesh",100018514,100018516,100018538,100018728,100020555,NULL,129000,1,"Y","Bengali","Hinduism",0.069,0,"South Asia Hindu - other","South Asian Peoples","BG_16295_111421"
660,"Baidya (Muslim traditions)",89.6513,22.7881,"T. S. Bahirdia","Bangladesh",100018514,100018518,100018560,100018939,100022427,NULL,500,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_17477_112887"
661,"Baiga",91.5118,25.0785,"Surma","Bangladesh",100018514,100018521,100018584,100019113,100024120,NULL,3100,1,"Y","Sylheti","Hinduism",1.090,0,"South Asia Tribal - other","South Asian Peoples","BG_16296_111422"
662,"Bairagi (Hindu traditions)",89.2552,25.757,"Paurashava","Bangladesh",100018514,100018520,100018580,100019086,100023844,NULL,211000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16297_111424"
663,"Baiti",90.9288,24.1824,"Gazir Char","Bangladesh",100018514,100018517,100018544,100018811,100021085,NULL,6300,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16300_111427"
664,"Bajikar (Muslim traditions)",89.7337,22.4986,"Jiudhara","Bangladesh",100018514,100018518,100018556,100018907,100022105,NULL,100,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16303_111430"
665,"Bania",90.9866,24.4203,"Singpur","Bangladesh",100018514,100018517,100018544,100018820,100021172,NULL,49000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_16318_111452"
666,"Bania Agarwal",90.012,24.0776,"Anaitara","Bangladesh",100018514,100018517,100018555,100018897,100022003,NULL,2300,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19688_115140"
667,"Bania Bais",90.4358,24.0501,"Prahladpur","Bangladesh",100018514,100018517,100018541,100018797,100020923,NULL,1400,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19691_115143"
668,"Bania Gandha Banik",89.9191,24.4164,"Anehola","Bangladesh",100018514,100018517,100018555,100018893,100021960,NULL,7000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19698_115150"
669,"Bania Khatri",89.4095,24.1954,"Parbhanguria","Bangladesh",100018514,100018519,100018571,100019006,100023081,NULL,4300,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19705_115157"
670,"Bania Rauniar",90.8564,24.0199,"Uttar Bakharnagar","Bangladesh",100018514,100018517,100018550,100018861,100021657,NULL,700,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19721_115174"
671,"Bania Subarna Banik",89.777,24.8158,"Adarbhita","Bangladesh",100018514,100018517,100018543,100018807,100021044,NULL,4600,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Forward Caste - Bania","South Asian Peoples","BG_19724_115177"
672,"Banjara (Muslim traditions)",90.0246,23.0149,"Radhaganj","Bangladesh",100018514,100018517,100018542,100018800,100020972,NULL,3400,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Tribal - Banjara","South Asian Peoples","BG_17482_112893"
673,"Barua",92.103,22.7365,"Kutuk Chhari","Bangladesh",100018514,100018516,100018538,100018736,100020589,NULL,11000,1,"Y","Chittagonian","Buddhism",0.000,0.000,"South Asia Buddhist","South Asian Peoples","BG_16382_111524"
674,"Bauri",91.9688,22.5182,"Raozan","Bangladesh",100018514,100018516,100018531,100018671,100019973,NULL,10000,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Dalit - other","South Asian Peoples","BG_10736_115233"
675,"Bedia (Hindu traditions)",91.4726,25.0196,"Pandergaon","Bangladesh",100018514,100018521,100018584,100019113,100024119,NULL,15000,1,"Y","Bengali","Hinduism",2.522,0,"South Asia Tribal - other","South Asian Peoples","BG_16367_111509"
676,"Bedia (Muslim traditions)",89.9197,23.0683,"Karpara","Bangladesh",100018514,100018517,100018542,100018798,100020937,NULL,24000,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Tribal - other","South Asian Peoples","BG_17489_112902"
677,"Beg",90.3251,24.9458,"Payari","Bangladesh",100018514,100018517,100018548,100018850,100021522,NULL,700,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16369_111511"
678,"Behara",89.8328,22.77,"Chitalmari","Bangladesh",100018514,100018518,100018556,100018902,100022062,NULL,56000,1,"Y","Bengali","Islam",0.000,0.000,"South Asia Muslim - other","South Asian Peoples","BG_16370_111512"
679,"Beldar (Hindu traditions)",89.9884,23.6683,"Azimnagar","Bangladesh",100018514,100018517,100018546,100018829,100021268,NULL,8800,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16375_111517"
680,"Besya (Hindu traditions)",90.7132,23.9918,"Putia","Bangladesh",100018514,100018517,100018550,100018862,100021665,NULL,1300,1,"Y","Bengali","Hinduism",0.000,0.000,"South Asia Hindu - other","South Asian Peoples","BG_16384_111526"
